assessmentItemID,keyword
advanced4701,"['단양 수양개 유적', '출토', '슴베찌르개', '주먹도끼', '시대', '대표', '유물', '중', '하나', '내용', '유적', '슴베찌르개', '돌날', '몸', '돌', '등', '뗀석기', '출토', '내용', '제시', '시대', '구석기 시대', '임', '수', '참고', '슴베찌르개', '창', '화살', '등', '찌', '르', '개', '데', '사용', '뗀석기', '구석기', '중기', '이후', '자루', '살', '대', '속', '부분', '사진', '아래', '부분', '구석기 시대', '사람', '동굴', '막', '집', '거주']"
advanced4702,"['고구려', '백제', '기원', '제목', '하', '연구소', '고구려', '백제', '왕족', '자신', '기원', '주제', '역사', '강좌', '차', '마련', '내용', '강좌', '내용', '강', '유역', '자연', '환경', '경제', '생활', '이', '강', '사출도', '연맹', '왕국', '구조', '강', '책', '법', '형벌', '제도', '제시', '제시', '나라', '초기', '국가', '부여', '수', '초기', '국가', '부여', '12월', '영', '제천', '행사', '이때', '백성', '하늘', '제사', '가무', '죄수', '삼국지', '위서', '동이전', '부여조']"
advanced4703,"['삼국', '발전', '경쟁', '제목', '하', '왼쪽', '말풍선', '비유왕', '지', '왕이', '동맹', '체결', '내용', '년', '체결', '나제 동맹', '것', '수', '가운데', '말풍선', '근초고왕', '평양성', '공격', '고국원왕', '전사', '내용', '371년', '일', '마지막', '오른쪽', '말풍선', '광', '개', '토', '대왕', '군대', '신라', '지원', '내용', '400년', '일', '이상', '순서', '나열']"
advanced4704,"['위', '사료', '왕이', '명령', '가문', '출신', '남자', '덕행', '자', '명칭', '화랑', '내용', '처음', '설', '원랑', '국선', '화랑', '국선', '시초', '이다', '내용', '화랑', '제도', '것', '신라', '대', '왕인', '진흥왕', '때', '재위', '일', '이다', '진흥왕', '아래', '사료', '왕이', '이찬', '이사부', '명', '국', '습격', '내용', '이때', '사다함', '나이', '세', '종군', '내용', '이사부', '대가야', '멸망', '사실', '것', '수', '진흥왕', '때', '일', '이다', '진흥왕', '부', '국사', '편찬', '것', '진흥왕', '년', '545년', '일']"
advanced4705,"['문화유산', '국보', '호로', '부여', '능산리', '절', '터', '출토', '내용', '백제', '왕실', '의례', '사용', '것', '추정', '유물', '도교', '불교', '요소', '복합', '표현', '걸작', '이다', '내용', '제시', '문화유산', '백제', '금동', '향로', '임', '수', '뚜껑', '꼭대기', '봉황', '부착', '뚜껑', '개', '산들', '겹', '첩첩산중', '도교', '불교', '혼합', '백제', '금속', '공예', '최고', '걸작품']"
advanced4706,"['무왕', '일본', '국', '서', '제목', '속일본기', '왕', '무예', '고인', '등', '국', '서', '선물', '기록', '있다', '내용', '기록', '내용', '고인', '덕', '주', '사', '나루', '등', '명', '서신', '담비', '가죽', '장', '소식', '우의', '발해', '거란', '영주', '등', '주변', '국가', '교류', '발해', '개', '대외', '교통', '당', '조공', '영주', '도가', '거란', '거란', '도가', '일본', '일본', '도가', '신라', '신라도']"
advanced4707,"['백제', '대야', '함락', '김춘추', '딸', '고타', '소', '랑', '남편', '김품석', '내용', '김춘추', '한', '고구려', '군사', '백제', '원한', '왕이', '허락', '내용', '백제', '의자왕', '대야', '공격', '함락', '것', '642년', '일', '김유신', '등', '황산', '벌판', '진군', '백제', '장군', '계백', '군사', '곳', '차지', '군데', '진영', '설치', '내용', '김유신', '등', '군사', '길', '번', '전세', '병사', '힘', '내용', '계백', '황산벌 전투', '것', '년', '7월', '일', '신라', '당', '태종', '군사', '동맹', '체결', '것', '648년', '진덕', '여왕', '일', '이다', '동맹']"
advanced4708,"['지도', '지방', '행정 구역', '마련', '국가', '통치', '제도', '말', '내용', '제시', '지도', '중원경', '서원경', '남원경', '등', '소경', '주', '삭주', '명주', '등', '주가', '제시', '지도', '속', '지방', '행정 구역', '주', '소경', '통일', '신라', '것', '확인', '수', '관리', '감찰', '사', '정부', '것', '신라', '태종', '열왕', '년', '659년', '일', '삼국사기', '진흥왕', '년', '년', '사', '정부', '경', '임명', '기록', '백관', '감찰', '기능', '관서', '이때', '사실', '수', '있다', '감찰', '업무', '년', '사', '정부', '격상', '동시', '최고', '책임자', '영', '상향', '조정']"
advanced4709,"['설총', '이후', '속인', '옷', '소성', '거사', '내용', '광대', '박', '모양', '도구', '화엄경', '구절', '이름', '따', '무애', '노래', '세상', '내용', '제시', '인물', '통일', '신라', '원효', '수', '원효', '저술', '중', '금강삼매경론', '있다', '외', '대승기신론소', '화엄경', '소', '등', '다수']"
advanced4710,"['박물관', '전주', '동고산성', '발굴', '전시회', '개최', '내용', '동고산성', '전주', '성', '명', '수막', '새', '등', '견훤', '관련', '유물', '출토', '내용', '마지막', '이번', '전시회', '후당', '오월', '교류', '모습', '수', '있다', '내용', '제시', '국가', '견훤', '후백제', '임', '수', '견훤', '년', '고려', '공산', '지금', '대구', '팔공산', '일대', '전투', '고려', '군', '대승', '반면', '년', '후', '년', '고창', '지금', '안동', '전투', '고려', '군', '패배']"
advanced4711,"['왼쪽', '말풍선', '훈', '후세', '전하', '노니', '밤낮', '귀감', '말', '고려 태조', '년', '942년', '일', '오른쪽', '말풍선', '신', '최승로', '시무 28조', '작성', '장계', '말', '고려 성종', '원년', '982년', '일', '노비안검법', '실시', '것', '고려 광종', '년', '956년', '일']"
advanced4712,"['벽', '정은', '예성', '항', '연안', '개경', '리', '있다', '내용', '사신', '배', '연안', '군사', '금고', '조서', '인도', '벽', '정', '내용', '제시', '상황', '고려', '시대', '대표', '국제 무역', '항이', '벽란도', '예성강', '하구', '관련', '것', '수', '금고', '고려', '조선', '시대', '군', '호령', '데', '사용', '징', '북', '활구', '라고', '은', '병', '유통', '시작', '것', '고려 숙종', '년', '년', '일']"
advanced4713,"['오른쪽', '말풍선', '책', '이규보', '문집', '전집', '권', '후', '집', '권', '구성', '내용', '시', '가전체', '소설', '등', '작품', '문학', '세계', '역사의식', '수', '있다', '내용', '제시', '책', '고려', '문신', '이규보', '시문집', '동국이상국집', '수', '동국이상국집', '고구려', '건국', '서사시', '동명왕편']"
