solvedAt,isCorrect,problemCode,timetaken,testMode,userUID,selected
1672884339704,1,advanced4701,2606,1,LH8ERBe1DpXavxtNNxKE0KIPyio2,1
1672884339704,1,advanced4702,1511,1,LH8ERBe1DpXavxtNNxKE0KIPyio2,2
1672884339704,1,advanced4703,1490,1,LH8ERBe1DpXavxtNNxKE0KIPyio2,4
1672884339704,1,advanced4704,1414,1,LH8ERBe1DpXavxtNNxKE0KIPyio2,1
1672884339704,0,advanced4705,1161,1,LH8ERBe1DpXavxtNNxKE0KIPyio2,5
1672892989732,1,advanced4701,15964,1,LH8ERBe1DpXavxtNNxKE0KIPyio2,1
1672892989732,1,advanced4702,11380,1,LH8ERBe1DpXavxtNNxKE0KIPyio2,2
1672892989732,0,advanced4703,11295,1,LH8ERBe1DpXavxtNNxKE0KIPyio2,3
1672892989732,0,advanced4704,8660,1,LH8ERBe1DpXavxtNNxKE0KIPyio2,4
1672892989732,0,advanced4705,8383,1,LH8ERBe1DpXavxtNNxKE0KIPyio2,5
1672983320709,1,advanced6201,24047,1,XTTrzLKaoRhhYGwdd8Laddas3BN2,1
1672983320709,1,advanced6202,22715,1,XTTrzLKaoRhhYGwdd8Laddas3BN2,2
1672983320709,1,advanced6203,23276,1,XTTrzLKaoRhhYGwdd8Laddas3BN2,1
1672986043427,1,basic4801,18967,1,4O5iU8xw5eTVd4vz06arFrbEReE3,2
1672986043427,0,basic4802,5577,1,4O5iU8xw5eTVd4vz06arFrbEReE3,3
1672986043427,0,basic4803,3243,1,4O5iU8xw5eTVd4vz06arFrbEReE3,4
1672986043427,0,basic4804,3884,1,4O5iU8xw5eTVd4vz06arFrbEReE3,2
1672990732465,1,basic4701,87805,1,LH8ERBe1DpXavxtNNxKE0KIPyio2,2
1673281526680,0,basic4701,43883,1,21ihzzx6cyX9DmcPwgA5ol54tvX2,3
1673404887987,1,basic5723,30334,0,LH8ERBe1DpXavxtNNxKE0KIPyio2,2
1673405025056,0,basic5743,1936,0,rFW8tuibA9cYaOummBR5nS5ucI53,0
1673405028541,0,basic6026,7048,0,LH8ERBe1DpXavxtNNxKE0KIPyio2,0
1673405030079,0,basic5729,6959,0,rFW8tuibA9cYaOummBR5nS5ucI53,0
1673405032446,0,basic5546,9326,0,rFW8tuibA9cYaOummBR5nS5ucI53,3
1673405035890,0,basic5428,12770,0,rFW8tuibA9cYaOummBR5nS5ucI53,4
